status,state
reopening,Alabama
reopening,Alaska
reopening,Arizona
reopening,Arkansas
reopening,Colorado
reopening,Connecticut
reopening,Florida
reopening,Georgia
reopening,Hawaii
reopening,Idaho
reopening,Indiana
reopening,Iowa
reopening,Kansas
reopening,Kentucky
reopening,Louisiana
reopening,Maryland
reopening,Massachusetts
reopening,Minnesota
reopening,Mississippi
reopening,Missouri
reopening,Montana
reopening,Nevada
reopening,"New Hampshire"
reopening,"North Carolina"
reopening,"North Dakota"
reopening,Ohio
reopening,Oklahoma
reopening,"Rhode Island"
reopening,"South Carolina"
reopening,"South Dakota"
reopening,Texas
reopening,Utah
reopening,Vermont
reopening,"West Virginia"
reopening,Wisconsin
reopening,Wyoming
regional,California
regional,Maine
regional,Michigan
regional,Nebraska
regional,"New Mexico"
regional,"New York"
regional,Oregon
regional,Pennsylvania
regional,Tennessee
regional,Virginia
regional,Washington
opening-soon,"Puerto Rico"
restricted,Delaware
restricted,"District of Columbia"
restricted,Illinois
restricted,"New Jersey"
