state,May,April,March,February,January
Alabama,9.9,13.8,3.0,2.7,2.7
Alaska,12.6,13.5,5.2,5.8,6.0
Arizona,8.9,13.4,6.1,4.5,4.5
Arkansas,9.5,10.8,5.0,3.5,3.5
California,16.3,16.4,5.5,3.9,3.9
Colorado,10.2,12.2,5.2,2.5,2.5
Connecticut,9.4,8.3,3.4,3.8,3.7
Delaware,15.8,14.9,5.0,3.9,4.0
"District of Columbia",8.9,11.7,6.0,5.1,5.2
Florida,14.5,13.8,4.4,2.8,2.8
Georgia,9.7,12.6,4.6,3.1,3.1
Hawaii,22.6,23.8,2.4,2.7,2.7
Idaho,8.9,11.8,2.5,2.7,2.8
Illinois,15.2,17.2,4.2,3.4,3.5
Indiana,12.3,17.5,3.0,3.1,3.1
Iowa,10.0,11.0,3.3,2.8,2.8
Kansas,10.0,11.9,2.8,3.1,3.1
Kentucky,11.0,16.6,5.2,4.2,4.3
Louisiana,13.3,15.1,6.7,5.2,5.3
Maine,9.3,10.4,3.0,3.2,3.1
Maryland,9.9,10.1,3.3,3.3,3.3
Massachusetts,16.3,16.2,2.8,2.8,2.8
Michigan,21.2,24.0,4.3,3.6,3.8
Minnesota,9.9,8.7,2.9,3.1,3.2
Mississippi,10.6,16.3,5.1,5.4,5.5
Missouri,10.1,10.2,3.9,3.5,3.5
Montana,9.0,11.9,3.6,3.5,3.5
Nebraska,5.2,8.7,4.0,2.9,2.9
Nevada,25.3,30.1,6.9,3.6,3.6
"New Hampshire",14.5,17.1,2.4,2.6,2.6
"New Jersey",15.2,16.3,3.7,3.8,3.8
"New Mexico",9.2,11.9,6.3,4.8,4.8
"New York",14.5,15.3,4.1,3.7,3.8
"North Carolina",12.9,12.9,4.3,3.6,3.6
"North Dakota",9.1,9.1,2.0,2.2,2.3
Ohio,13.7,17.6,5.8,4.1,4.1
Oklahoma,12.6,14.7,2.9,3.2,3.3
Oregon,14.2,14.9,3.5,3.3,3.3
Pennsylvania,13.1,16.1,5.8,4.7,4.7
"Rhode Island",16.3,18.1,4.7,3.4,3.4
"South Carolina",12.5,12.8,3.2,2.5,2.4
"South Dakota",9.4,10.9,3.1,3.3,3.4
Tennessee,11.3,15.5,3.3,3.4,3.3
Texas,13.0,13.5,5.1,3.5,3.5
Utah,8.5,10.4,3.8,2.5,2.5
Vermont,12.7,16.5,3.1,2.4,2.4
Virginia,9.4,11.2,3.3,2.6,2.7
Washington,15.1,16.3,5.1,3.8,3.9
"West Virginia",12.9,15.9,6.0,4.9,5.0
Wisconsin,12.0,13.6,3.1,3.5,3.5
Wyoming,8.8,9.6,3.8,3.7,3.7
"Puerto Rico",-,-,-,8.8,8.9
